Headlines,Summary,URL
Why haven't more Americans faced charges in the Epstein case?,"Sarah Smith explains why so far, no Americans, beyond Epstein and Maxwell, have faced criminal investigations.",https://www.bbc.com/news/videos/ce8w279kz6xo
Trump directs US government to prepare release of files on aliens and UFOs,"Trump says he will seek release of files on extraterrestrials, ""based on the tremendous interest shown"".",https://www.bbc.com/news/articles/c4g57gqqln1o
Two sisters among those killed in Lake Tahoe avalanche,Six of the victims have been named by their families as recovery efforts continue in California's backcountry following this week's deadly avalanche.,https://www.bbc.com/news/articles/c4g02nxx2plo
Nasa boss says Boeing Starliner failure one of worst in its history,The agency released a critical report that puts the Starliner incident at same mistake level assigned to the fatal Columbia and Challenger shuttle disasters.,https://www.bbc.com/news/articles/cm2x3nlxg9jo
'Who's next?' - American lawmakers call for 'justice' in the US after Andrew arrest,US lawmakers urge their government to follow the UK's suit and push harder on those who were close to Jeffrey Epstein.,https://www.bbc.com/news/articles/c86yj2vjp5go
US clinch ice hockey gold with overtime winner,Megan Keller scores in overtime to clinch Winter Olympic gold for the United States in a last-gasp 2-1 win over great rivals Canada.,https://www.bbc.com/sport/ice-hockey/articles/c07j84jpn55o
Microsoft error sees confidential emails exposed to AI tool Copilot,"The company says it has addressed the issue and it ""did not provide anyone access to information they weren't already authorised to see"".",https://www.bbc.com/news/articles/c8jxevd8mdyo
Trump-appointed panel approves White House ballroom project,A commission made up of Trump appointees signed off on the design after architects made changes in response to concerns.,https://www.bbc.com/news/articles/c07j8rv0l55o
US trade deficit hits fresh high despite Trump's tariffs,The US bought more goods than it sold in 2025 as the White House attempts to reverse the flow.,https://www.bbc.com/news/articles/c4ge4yxwnlno
USA superstar Liu wins women's skating Olympic gold,American superstar Alysa Liu adds Olympic figure skating gold to her world title as she beats a standout field in the women's final.,https://www.bbc.com/sport/articles/c33jz026mg3o
US kids talk about chasing Olympic glory alongside elite figure skaters,"They skate in the same rink as Ilia Malinin, and they're dreaming of their shot at Olympic medals.",https://www.bbc.com/news/videos/cr5ld8p3qnpo
California hit by heavy snow as avalanche leaves skiers missing,"Six others skiers were rescued, according to the Nevada County Sheriff's Office, but conditions remain dangerous, with a high chance of further avalanches.",https://www.bbc.com/news/videos/crm837ykk1yo
Watch: Lindsey Vonn shares her journey home after Olympics crash,The US skier was the Olympic downhill champion in 2010 and had been hoping for a fairytale ending to her illustrious career in 2026.,https://www.bbc.com/news/videos/cgk2gj3zm8do
Moment officers rescue injured bald eagle from icy Hudson River,"The bald eagle was safely removed from the water and transported to a New Jersey sanctuary, officials said.",https://www.bbc.com/news/videos/cly049er5xzo
'We're going to always be grateful' - Chicagoans mourn loss of Jesse Jackson,The BBC's Gary O'Donoghue spoke with city residents about what the civil rights leader's passing means for the community shaped by his activism.,https://www.bbc.com/news/articles/cn8z9qq25jno
"Watch: Jesse Jackson's life in civil rights, diplomacy, and politics","The civil rights leader, who ran for president twice in the 1980s, leaves a lasting legacy.",https://www.bbc.com/news/videos/cvg4y9ee16go
Trump's foreign policy dilemma laid bare by Iran tensions,The president’s calls for peace and willingness to exert military power can at times feel like competing impulses.,https://www.bbc.com/news/articles/c875p9q59vjo
US build-up of warships and fighter jets tracked near Iran,"A second US aircraft carrier appears to be heading towards the Middle East, as Washington puts pressure on Iran.",https://www.bbc.com/news/articles/c1d64p3q2d0o
How rescuers raced against time to reach skiers trapped in avalanche,"Teams deployed from nearby ski resorts trying to reach six trapped skiers, and nine more who died.",https://www.bbc.com/news/articles/ce82g7dlr5yo
"As Trump retreats from climate goals, China is becoming a green superpower","China, the world’s top carbon emitter, is also at the helm of a renewables revolution.",https://www.bbc.co.uk/news/resources/idt-8d2b6944-4f7a-45b4-96fd-2d92499ff97d
"Under pressure from Trump, Venezuela's new president has aces up her sleeve",Delcy Rodriguez knows its in America's interests for her to be a success,https://www.bbc.com/news/articles/cn87rv0jdy1o
New Mexico reopens criminal inquiry into Jeffrey Epstein's Zorro Ranch,"The initial investigation was closed in 2019 but prosecutors say that new revelations ""warrant further examination"".",https://www.bbc.com/news/articles/c39wj94me31o
Eight skiers found dead after California avalanche,Fifteen skiers went missing on Tuesday following a massive avalanche in California's Lake Tahoe region. One person remains missing but is presumed dead.,https://www.bbc.com/news/articles/cvg19dp4vxgo
What we know about the abduction of Savannah Guthrie's mother Nancy,It's been days since 84-year-old Nancy Guthrie disappeared in the middle of night from her home in Arizona.,https://www.bbc.com/news/articles/cdex1nlrj07o
Billionaire Les Wexner tells US lawmakers he was 'naive' and 'conned' by Epstein,"Testifying before Congress, the former CEO of Victoria's Secret accused Jeffrey Epstein of stealing ""vast sums"" of money from his family.",https://www.bbc.com/news/articles/cy57rrrpvg7o
Trump adviser calls for Fed economists to be 'disciplined',Kevin Hassett criticised a New York Fed study into tariffs and the impact on US firms and consumers.,https://www.bbc.com/news/articles/clygwv38k1xo
Canada Conservative leader dismisses MP's 'hissy fit' remark over US relations,"Jamil Jivani, a Conservative MP, told a US news site that Canada was undermining its relationship with the US by throwing an ""anti-American hissy fit"".",https://www.bbc.com/news/articles/c4g8297ldrgo
Third Conservative Canadian MP defects to Carney's Liberals,The defection brings Prime Minister Mark Carney's party just three seats shy of a majority in the House of Commons.,https://www.bbc.com/news/articles/cqxd495pvy5o
Air Force One set for makeover paint job with new colours,"The presidential jet, along with other aircraft used for high-level officials, is being painted with some of Trump's preferred palette.",https://www.bbc.com/news/articles/cpd8zx4qdz6o
'A sad day': Curling cheating row at Winter Games unsettles Canadians,Both men's and women's Canadian curling teams have been accused of cheating at the 2026 Winter Olympics.,https://www.bbc.com/news/articles/c9dne166pwlo
Rescuers search for nine missing skiers after California avalanche,"Forecasters warn that heavy snowfall is likely to continue in the area over the next few days, making rescue efforts more difficult.",https://www.bbc.com/news/articles/c62dke15357o
Lindsey Vonn shares her journey home after Olympics crash,The US skier was the Olympic downhill champion in 2010 and had been hoping for a fairytale ending to her illustrious career in 2026.,https://www.bbc.com/news/videos/cgk2gj3zm8do
Sheriff tells BBC he believes Nancy Guthrie being held close to her home,"Sheriff Chris Nanos, who is leading the hunt, said he was confident they would find her - whether it took ""10 days, 10 months, or worse"".",https://www.bbc.com/news/videos/c4gj9lndzy9o
Suspect in Rhode Island ice hockey shooting killed ex-wife and son,Robert Dorgan - who also went by the name Roberta Esposito - was found dead inside the Pawtucket arena.,https://www.bbc.com/news/articles/cy4wvk9vn40o
"No DNA matches on glove found in Nancy Guthrie case, police say","Two weeks after the 84‑year‑old's disappearance, US authorities say there have been no arrests.",https://www.bbc.com/news/articles/cj0dqp9pleeo
Fast-moving wildfires rage across southwestern US,"The Ranger Road Fire in the Oklahoma Panhandle has burned approximately 15,000 acres.",https://www.bbc.com/news/videos/cj982xkr033o
Stephen Colbert says CBS spiked interview with Democrat over FCC fears,The network denies it stopped the interview with a Texas Democrat from airing but warned it could run afoul of the US broadcast media watchdog.,https://www.bbc.com/news/articles/cze0dk3yd5eo
'We're going to always be grateful': Chicagoans mourn loss of Jesse Jackson,The BBC's Gary O'Donoghue spoke with city residents about what the civil rights leader's passing means for the community shaped by his activism.,https://www.bbc.com/news/articles/cn8z9qq25jno
US Homeland Security spokeswoman Tricia McLaughlin to leave post,McClaughlin has vigorously promoted and defended Trump's deportation push across social media and in interviews.,https://www.bbc.com/news/articles/cd9g25gp90ko
Hockey players recount Rhode Island ice rink shooting,The shooting at a high school ice hockey game left two people dead and three others injured.,https://www.bbc.com/news/videos/c39wv242jvxo
US civil rights leader Jesse Jackson dies aged 84,Tributes poured in from politicians who described Jackson as an agent of change and a transformative leader.,https://www.bbc.com/news/articles/cp81l0e1eg5o
Jesse Jackson: A life in pictures,"A look back at the remarkable life of the US civil rights activist, who died on Tuesday aged 84.",https://www.bbc.com/news/articles/cn0zjz58nzqo
Police identify suspect in Rhode Island ice rink shooting,Two people were killed and three others were injured at a shooting at a high school hockey game in Pawtucket.,https://www.bbc.com/news/articles/c75e7wqqq6no
"Jesse Jackson's life in civil rights, diplomacy and politics","The civil rights leader, who ran for US president twice in the 1980s, leaves a lasting legacy.",https://www.bbc.com/news/videos/cvg4y9ee16go
"Nancy Guthrie's family cleared as possible suspects, with search in its third week","Local police say the missing woman's relatives are victims - and ""to suggest otherwise is not only wrong, it is cruel"".",https://www.bbc.com/news/articles/cjd93rl849xo
How Jesse Jackson paved way for Barack Obama - and helped change US,The US civil rights activist's influence spread from the churches of the Deep South to the White House.,https://www.bbc.com/news/articles/cx77214zz9eo
Hillary Clinton accuses Trump administration of Epstein files 'cover-up' in BBC interview,"""Get the files out. They are slow-walking it,"" the former US secretary of state says. The White House says it has done ""more for the victims than Democrats ever did"".",https://www.bbc.com/news/articles/czx47k34yqxo
"FBI won't co-operate on Alex Pretti investigation, state officials say",Minnesota's Bureau of Criminal Apprehension says the FBI will not hand over any evidence it has gathered.,https://www.bbc.com/news/articles/crk8nxg1p4xo
US Senator Mark Kelly tells BBC he will 'seriously consider' White House run,"The former Navy captain and astronaut says ""we're in some seriously challenging times"".",https://www.bbc.com/news/articles/cy9gdvl4zv4o
Trump directs federal authorities to manage sewage spill 'disaster',The sewer line rupture has dumped hundreds of millions of gallons into the Potomac River that runs through Washington DC,https://www.bbc.com/news/articles/cy57nk9e6zqo
'It's never too late': Savannah Guthrie's new plea for mother's release as FBI analyses glove,"The FBI says it recovered a DNA sample from the glove, which was found in a field a few miles from Guthrie's home.",https://www.bbc.com/news/articles/c5yrv2g16e2o
Obama clarifies views on aliens after saying 'they're real' on podcast,Former US President Barack Obama says he has seen no evidence extra-terrestrials have made contact with Earth.,https://www.bbc.com/news/articles/cx2g4qglzz8o
Ex-church minister who admitted child sexual abuse to BBC still free years later,"Robert Corfield, who admitted abusing a child to the BBC, was a minister in a shadowy church known as The Truth.",https://www.bbc.com/news/articles/cx2k23mlkzlo
Bondi criticised after saying all Epstein files have been released,"Lawmakers, including those who wrote the law requiring their publication, argue the release is insufficient.",https://www.bbc.com/news/articles/cz7genjx9njo
"An abduction, a Bitcoin demand and a TV icon: Why Nancy Guthrie's case has gripped the US",Savannah Guthrie's fame has helped turn her mother's abduction into a national obsession.,https://www.bbc.com/news/articles/c5y48j0exlgo
Moment crew docks at International Space Station,The crew blasted off from Cape Canaveral in a SpaceX Dragon spacecraft atop a Falcon 9 rocket.,https://www.bbc.com/news/videos/c1e9z8jw93yo
Obama addresses racist video shared by Trump depicting him as an ape,"The former US president didn't name Trump, but lamented the lack of ""shame"" and ""decorum"" among public officials.",https://www.bbc.com/news/articles/c74754j7qwgo
No arrests made after police search residence near Nancy Guthrie's home,"A search has been carried out in Tuscon, Arizona, close to where the 84-year-old was abducted nearly two weeks ago.",https://www.bbc.com/news/articles/cly8j19rql7o
Casey Wasserman to sell talent agency after Epstein fallout,The prominent agent and LA Olympics chief has come under scrutiny over past ties with Jeffrey Epstein and Ghislaine Maxwell.,https://www.bbc.com/news/articles/cy0dn4e1njjo
Tribes grant the Colorado River legal personhood - can this help save it?,"The river, which runs through seven US states that share it, is currently facing the worst drought in 1,200 years.",https://www.bbc.com/news/videos/crmlgpnnzyxo
"'Canadians are with you,' says PM Carney at Tumbler Ridge vigil",The Canadian prime minister attended a vigil with federal leaders and paid tribute to the eight victims.,https://www.bbc.com/news/articles/cde4kdr2z6do
"US homeland security shutdown could mean airport delays, travel groups say",The shutdown won't affect air traffic controllers but some TSA workers may go without pay.,https://www.bbc.com/news/articles/cwy8dw5zk7yo
